Input Size (n),Algorithm,Fibonacci Value,Execution Time (seconds),Memory Usage (KB)
5,Recursive Fibonacci,5,5.099995178170502e-06,0.0
5,Iterative Fibonacci,5,1.340000017080456e-05,0.078125
5,Dynamic Programming Fibonacci,5,7.90000194683671e-06,0.15625
10,Recursive Fibonacci,55,2.169999061152339e-05,0.0
10,Iterative Fibonacci,55,4.0000013541430235e-06,0.078125
10,Dynamic Programming Fibonacci,55,8.099988917820156e-06,0.4375
15,Recursive Fibonacci,610,0.00018390000332146883,0.0625
15,Iterative Fibonacci,610,6.200003554113209e-06,0.09375
15,Dynamic Programming Fibonacci,610,1.3800003216601908e-05,0.8359375
20,Recursive Fibonacci,6765,0.0020035999914398417,0.15625
20,Iterative Fibonacci,6765,1.1800002539530396e-05,0.125
20,Dynamic Programming Fibonacci,6765,2.5999994250014424e-05,0.8984375
25,Recursive Fibonacci,75025,0.0230065000068862,0.7685546875
25,Iterative Fibonacci,75025,2.0399995264597237e-05,0.125
25,Dynamic Programming Fibonacci,75025,4.030000127386302e-05,1.9453125
30,Recursive Fibonacci,832040,0.2172251000010874,145.458984375
30,Iterative Fibonacci,832040,1.7999991541728377e-05,0.125
30,Dynamic Programming Fibonacci,832040,3.710000601131469e-05,1.9453125
35,Recursive Fibonacci,9227465,2.5638171000027796,147.5078125
35,Iterative Fibonacci,9227465,2.4499997380189598e-05,0.125
35,Dynamic Programming Fibonacci,9227465,4.3100008042529225e-05,1.9453125
