Input Size,Condition,Algorithm,Execution Time (seconds),Memory Usage (KB)
100,Sorted,Bubble Sort,2.9100003303028643e-05,0.890625
100,Sorted,Insertion Sort,2.020000829361379e-05,0.859375
100,Sorted,Merge Sort,0.0006044999900041148,1.984375
100,Sorted,Quick Sort,0.00027150000096298754,0.859375
100,Reverse Sorted,Bubble Sort,0.0010970000002998859,0.890625
100,Reverse Sorted,Insertion Sort,0.0005627000064123422,0.859375
100,Reverse Sorted,Merge Sort,0.0013655999937327579,146.8330078125
100,Reverse Sorted,Quick Sort,0.00025019999884534627,0.859375
100,Random,Bubble Sort,0.0007760000007692724,0.890625
100,Random,Insertion Sort,0.00031430000672116876,0.859375
100,Random,Merge Sort,0.0006536000000778586,1.78125
100,Random,Quick Sort,0.0002744000084931031,0.859375
300,Sorted,Bubble Sort,0.00012489999062381685,2.54296875
300,Sorted,Insertion Sort,0.0001748000067891553,2.48046875
300,Sorted,Merge Sort,0.0020413000020198524,5.890625
300,Sorted,Quick Sort,0.0013932000001659617,2.828125
300,Reverse Sorted,Bubble Sort,0.014357899999595247,2.57421875
300,Reverse Sorted,Insertion Sort,0.0087682000012137,2.48046875
300,Reverse Sorted,Merge Sort,0.003114500010269694,6.6640625
300,Reverse Sorted,Quick Sort,0.0021721999946748838,2.90625
300,Random,Bubble Sort,0.014858700000331737,2.57421875
300,Random,Insertion Sort,0.007695499996771105,2.48046875
300,Random,Merge Sort,0.0031823000026633963,5.1171875
300,Random,Quick Sort,0.0020733999990625307,3.5185546875
500,Sorted,Bubble Sort,0.0007818000012775883,4.10546875
500,Sorted,Insertion Sort,0.0010581000096863136,4.04296875
500,Sorted,Merge Sort,0.003879300013068132,9.796875
500,Sorted,Quick Sort,0.004115999996429309,4.46875
500,Reverse Sorted,Bubble Sort,0.1706999000016367,151.369140625
500,Reverse Sorted,Insertion Sort,0.07506160000048112,148.59375
500,Reverse Sorted,Merge Sort,0.002349400005186908,9.796875
500,Reverse Sorted,Quick Sort,0.005055700006778352,4.59375
500,Random,Bubble Sort,0.1056181000021752,4.13671875
500,Random,Insertion Sort,0.04052140000567306,4.04296875
500,Random,Merge Sort,0.002665099993464537,8.2578125
500,Random,Quick Sort,0.004874100006418303,5.015625
1000,Sorted,Bubble Sort,0.0012896999978693202,8.01171875
1000,Sorted,Insertion Sort,0.0017573000077391043,7.94921875
1000,Sorted,Merge Sort,0.007579500001156703,23.4892578125
1000,Sorted,Quick Sort,0.021423999991384335,152.6171875
1000,Reverse Sorted,Bubble Sort,1.483574400001089,154.07421875
1000,Reverse Sorted,Insertion Sort,0.6640659999975469,153.6142578125
1000,Reverse Sorted,Merge Sort,0.006083799991756678,19.59375
1000,Reverse Sorted,Quick Sort,0.015761300004669465,153.2568359375
1000,Random,Bubble Sort,1.0949446000013268,153.7373046875
1000,Random,Insertion Sort,0.3750092000118457,153.46875
1000,Random,Merge Sort,0.014861200004816055,16.84375
1000,Random,Quick Sort,0.02891510000335984,9.109375
2000,Sorted,Bubble Sort,0.004381099992315285,15.82421875
2000,Sorted,Insertion Sort,0.006532500003231689,15.76171875
2000,Sorted,Merge Sort,0.02998160000424832,39.234375
2000,Sorted,Quick Sort,0.05869109999912325,16.421875
2000,Reverse Sorted,Bubble Sort,7.768503100000089,162.0771484375
2000,Reverse Sorted,Insertion Sort,3.170212899989565,161.49609375
2000,Reverse Sorted,Merge Sort,0.01944309999817051,183.6083984375
2000,Reverse Sorted,Quick Sort,0.05670810000447091,16.625
2000,Random,Bubble Sort,6.219101800001226,161.6123046875
2000,Random,Insertion Sort,2.56189950001135,161.49609375
2000,Random,Merge Sort,0.03821820000302978,177.810546875
2000,Random,Quick Sort,0.057076600001892075,17.125
